budget,id,popularity,release_date,revenue,runtime,vote_average,vote_count
237000000,19995,150.437577,10-12-09,2787965087,162,7.2,11800
300000000,285,139.082615,19-05-07,961000000,169,6.9,4500
245000000,206647,107.376788,26-10-15,880674609,148,6.3,4466
250000000,49026,112.31295,16-07-12,1084939099,165,7.6,9106
260000000,49529,43.926995,07-03-12,284139100,132,6.1,2124
258000000,559,115.699814,01-05-07,890871626,139,5.9,3576
260000000,38757,48.681969,24-11-10,591794936,100,7.4,3330
280000000,99861,134.279229,22-04-15,1405403694,141,7.3,6767
250000000,767,98.885637,07-07-09,933959197,153,7.4,5293
250000000,209112,155.790452,23-03-16,873260194,151,5.7,7004
270000000,1452,57.925623,28-06-06,391081192,154,5.4,1400
200000000,10764,107.928811,30-10-08,586090727,106,6.1,2965
200000000,58,145.847379,20-06-06,1065659812,151,7,5246
255000000,57201,49.046956,03-07-13,89289910,149,5.9,2311
225000000,49521,99.398009,12-06-13,662845518,143,6.5,6359
225000000,2454,53.978602,15-05-08,419651413,150,6.3,1630
220000000,24428,144.448633,25-04-12,1519557910,143,7.4,11776
380000000,1865,135.413856,14-05-11,1045713802,136,6.4,4948
225000000,41154,52.035179,23-05-12,624026776,106,6.2,4160
250000000,122917,120.965743,10-12-14,956019788,144,7.1,4760
215000000,1930,89.866276,27-06-12,752215857,136,6.5,6586
200000000,20662,37.668301,12-05-10,310669540,140,6.2,1398
250000000,57158,94.370564,11-12-13,958400000,161,7.6,4524
180000000,2268,42.990906,04-12-07,372234864,113,5.8,1303
207000000,254,61.22601,14-12-05,550000000,187,6.6,2337
200000000,597,100.025899,18-11-97,1845034188,194,7.5,7562
250000000,271110,198.372395,27-04-16,1153304495,147,7.1,7241
209000000,44833,64.928382,11-04-12,303025485,131,5.5,2114
150000000,135397,418.708552,09-06-15,1513528810,124,6.5,8662
200000000,37724,93.004993,25-10-12,1108561013,143,6.9,7604
200000000,558,35.149586,25-06-04,783766341,127,6.7,4321
200000000,68721,77.68208,18-04-13,1215439994,130,6.8,8806
200000000,12155,78.530105,03-03-10,1025491110,108,6.4,4645
210000000,36668,3.857526,24-05-06,459359555,104,6.3,3525
200000000,62211,89.186492,20-06-13,743559607,104,7,3528
150000000,8373,21.939663,19-06-09,836297228,150,6,3138
210000000,91314,116.840296,25-06-14,1091405097,165,5.8,3095
200000000,68728,46.985445,07-03-13,491868548,130,5.7,3530
200000000,102382,89.270217,16-04-14,705717432,142,6.5,4179
170000000,20526,73.79505,10-12-10,400062763,125,6.3,2841
200000000,49013,49.98659,11-06-11,559852396,106,5.8,2033
200000000,44912,51.872839,16-06-11,219851172,114,5.1,2487
200000000,10193,59.995418,16-06-10,1066969703,103,7.6,4597
200000000,534,71.862892,20-05-09,371353001,115,5.9,2463
190000000,168259,102.322217,01-04-15,1506249360,137,7.3,4176
200000000,72190,81.834855,20-06-13,531865000,116,6.7,5560
250000000,127585,118.078691,15-05-14,747862775,131,7.5,6032
190000000,54138,78.291018,05-05-13,467365246,132,7.4,4418
195000000,81005,43.349855,27-02-13,197687603,114,5.5,2598
105000000,64682,61.196071,10-05-13,351040419,143,7.3,3769
150000000,9543,62.169881,19-05-10,335154643,116,6.2,2317
180000000,68726,56.523205,11-07-13,407602906,131,6.7,4794
195000000,38356,28.529607,28-06-11,1123746996,154,6.1,3299
185000000,217,75.674458,21-05-08,786636033,122,5.7,2495
175000000,105864,51.692953,14-11-15,331926147,93,6.6,1736
185000000,62177,125.114374,21-06-12,538983207,93,6.7,4641
185000000,188927,65.352913,07-07-16,343471816,122,6.6,2568
180000000,10681,66.390712,22-06-08,521311860,98,7.8,6296
140000000,5174,22.57178,08-08-07,258022233,91,6.1,783
200000000,14161,45.274225,10-10-09,769653595,158,5.6,4903
200000000,17979,39.744242,04-11-09,325233863,96,6.6,1095
176000003,76757,85.36908,04-02-15,183987723,124,5.2,2768
180000000,258489,42.741719,29-06-16,356743061,109,5.5,2430
180000000,411,67.391328,07-12-05,748806957,143,6.7,2629
178000000,246655,139.272042,18-05-16,543934787,144,6.4,4721
185000000,155,187.322927,16-07-08,1004558444,152,8.2,12002
175000000,14160,92.201962,13-05-09,735099082,96,7.7,6870
175000000,15512,36.167578,19-03-09,381509870,94,6,1423
140000000,1726,120.725053,30-04-08,585174222,126,7.4,8776
170000000,44826,32.319043,22-11-11,185770160,126,7,2141
170000000,8487,40.748915,29-06-99,222104681,106,5.1,1020
145000000,1735,60.034162,01-07-08,401128639,112,5.2,1387
175000000,297761,90.23792,02-08-16,745000000,123,5.9,7458
175000000,2698,27.082182,09-06-07,173000000,96,5.3,1151
178000000,137113,79.456485,27-05-14,370541256,113,7.6,4858
175000000,9804,44.640292,28-07-95,264218220,135,5.9,992
175000000,14869,32.852443,04-08-09,302469017,118,5.6,1962
175000000,150540,128.655964,09-06-15,857611174,94,8,6560
175000000,278927,94.199316,07-04-16,966550600,106,6.7,2892
200000000,10138,77.300194,28-04-10,623933331,124,6.6,6849
170000000,58595,77.178973,30-05-12,396600000,127,5.8,3118
180000000,102651,110.620647,28-05-14,758539785,97,7,4496
170000000,119450,243.791743,26-06-14,710644566,130,7.3,4410
27000000,79698,2.418535,13-02-15,0,109,4.8,34
175000000,64686,41.796339,06-12-13,150962475,119,5.9,1326
170000000,100402,72.225265,20-03-14,714766572,136,7.6,5764
165000000,10192,44.041186,16-05-10,752600867,93,6,1959
190000000,158852,130.311355,19-05-15,209154322,130,6.2,2846
165000000,177572,203.73459,24-10-14,652105443,102,7.8,6135
165000000,82690,62.341073,01-11-12,471222889,108,7.1,4570
165000000,5255,47.323228,10-11-04,305875730,100,6.4,1474
165000000,47933,48.775723,22-06-16,389681935,120,4.9,2491
165000000,10191,67.263269,05-03-10,494878759,98,7.5,4227
200000000,296,69.405188,02-07-03,435000000,109,5.9,2143
170000000,118340,481.098624,30-07-14,773328629,121,7.9,9742
165000000,157336,724.247784,05-11-14,675120017,169,8.1,10867
